LeadID,FirstName,LastName,EmailAddress,PhoneNumber,CompanyName,JobTitle,Industry,LeadStatus,LeadSource,Country,State_Province,PostalCode,AnnualRevenue,NumberOfEmployees,CompanySize,LeadRating,LeadScore,CampaignID,ProductInterest,CreatedDate,ConvertedDate,LastActivityDate,Description,Website,Region
NA-LEAD-000013,Lisa,Miller,LISA.MILLER@smartsolutions.co,,SmartSolutions,manager,,Contacted,REFERRAL,Canada,NY,97062.0,41919251.0,1030.0,1000+,C,52.0,TECH-SUMMIT-2024,,2023-10-05,,2023-12-14,,www.smartsolutions.com,North America
NA-LEAD-000014,James,Anderson,james.anderson@cloudsystems.io,(418) 723-8752,CloudSystems,VP Sales,,New,Referral,CA,IL,91167.0,15861764.0,1850.0,201-1000,Cold,,HOLIDAY-PROMO-2024,cloud suite,2023-09-09,,2023-09-18,Lead from REFERRAL,www.cloudsystems.com,North America
NA-LEAD-000015,Nancy,Taylor,,9883097965,FutureTech,CEO,Healthcare,Qualified,,,CA,25906.0,31281679.0,4588.0,,,56.0,,,2024-10-09,,2024-12-18,Lead from Cold Call,www.futuretech.com,North America
NA-LEAD-000016,Jennifer,Davis,jennifer.davis@digitalfirst.io,4404786502,DigitalFirst,Head of IT,Health Care,Disqualified,Referral,US,TX,30028.0,4410325.0,2720.0,Enterprise,W,26.0,Q42024WEB,,2023-05-22,,2023-08-04,Lead from Web Form,www.digitalfirst.com,North America
NA-LEAD-000017,Richard,Martinez,richard.martinez@futuretech.co,8174258999,FutureTech,CEO,Manufacturing,Converted,Partner,,CA,97670.0,27233232.0,3838.0,51-200,C,,EMAIL-NURTURE-SERIES,Cloud Suite,2024-09-03,2024-12-12,,Lead from Paid Ads,,North America
NA-LEAD-000018,David,Miller,david.miller@smartsolutions.co,+1-219-967-9837,SmartSolutions,Manager,Education,Converted,LinkedIn,United States,,15276.0,16694901.0,176.0,,Cold,60.0,q4-2024-webinar,Analytics Platform,2023-03-10,,2023-04-06,Lead from Trade Show,www.smartsolutions.com,North America
NA-LEAD-000019,Michael,Martinez,michael.martinez@datainc.co,2778064978,DataInc,Director,technology,Contacted,Trade Show,United States,,15383.0,28847961.0,574.0,Enterprise,,,EMAIL-NURTURE-SERIES,cloud suite,2022-12-02,,,Lead from REFERRAL,www.datainc.com,North America
NA-LEAD-000020,Jennifer,Taylor,jennifer.taylor@cloudsystems.co,8064746280,CloudSystems,CEO,Financial Services,Converted,Trade Show,,TX,84691.0,25533541.0,4059.0,Small,Cold,45.0,Q42024WEB,Cloud,2024-06-10,2024-11-24,2024-08-25,Lead from Trade Show,www.cloudsystems.com,North America
NA-LEAD-000021,Robert,Brown,robert.brown@datainc.co,+1-501-426-7625,DataInc,CEO,Manufacturing,new,REFERRAL,Mexico,FL,55056.0,37035945.0,3727.0,1000+,warm,15.0,q4-2024-webinar,Integration Tools,2023-05-10,,2023-07-17,Lead from Cold Call,,North America
NA-LEAD-000022,Nancy,Davis,nancy.davis@digitalfirst.net,,DigitalFirst,manager,Manufacturing,Nurturing,Cold Call,,CA,85243.0,32225966.0,1520.0,1-10,warm,61.0,Q4-2024-WEBINAR,Analytics Platform,2023-08-03,,2023-08-12,Lead from REFERRAL,,North America
NA-LEAD-000023,Michael,Martinez,michael.martinez@digitalfirst.net,(653) 504-8025,DigitalFirst,CTO,Retail & Consumer,Contacted,web form,USA,IL,23006.0,14044410.0,2177.0,1 to 10,Warm,,HOLIDAY-PROMO-2024,Analytics Platform,2022-06-24,,,Lead from web form,www.digitalfirst.com,North America
NA-LEAD-000024,John,Brown,john.brown@digitalfirst.net,(863) 352-5352,DigitalFirst,VP Sales,Financial Services,new,Web Form,US,,84607.0,29571089.0,2501.0,Medium,warm,63.0,EMAIL-NURTURE-SERIES,Analytics Platform,2023-08-03,,2023-09-27,Lead from web form,,North America
NA-LEAD-000025,Jane,Brown,jane.brown@techcorp.net,(703) 293-8700,TechCorp,Head of IT,Tech,Qualified,Email Marketing,Mexico,WA,,27725034.0,2371.0,1 to 10,H,70.0,Q4-2024-WEBINAR,cloud suite,2023-07-06,,,,,North America
NA-LEAD-000026,Richard,Miller,richard.miller@example.co,4084739998,,VP Sales,Manufacturing,new,Paid Ads,,CA,,16158980.0,2555.0,Enterprise,Hot,11.0,HOLIDAY-PROMO-2024,Analytics Platform,2022-01-03,,2022-01-18,Lead from Cold Call,,North America
NA-LEAD-000027,Jennifer,Taylor,jennifer.taylor@digitalfirst.net,,DigitalFirst,manager,technology,,Cold Call,United States,NY,64387.0,34173698.0,31.0,1000+,warm,74.0,q4-2024-webinar,cloud suite,2024-11-08,,2025-01-04,Lead from Email Marketing,www.digitalfirst.com,North America
NA-LEAD-000028,Richard,Rodriguez,RICHARD.RODRIGUEZ@futuretech.co,9225907325,FutureTech,VP Sales,Finance,Nurturing,Web Form,US,IL,53515.0,29648449.0,,Large,Hot,52.0,Q42024WEB,Security Suite,2024-07-21,,,Lead from Trade Show,www.futuretech.com,North America
NA-LEAD-000029,Nancy,Miller,nancy.miller@datainc.co,+1-270-440-5708,DataInc,CEO,technology,,Referral,MX,CA,23173.0,46673629.0,247.0,1-10,,37.0,TECH-SUMMIT-2024,Analytics,2023-11-04,,2023-12-05,Lead from web form,www.datainc.com,North America
NA-LEAD-000030,Michael,Williams,michael.williams@cloudsystems.net,6704611153,CloudSystems,,Manufacturing,,REFERRAL,,TX,,39531269.0,3485.0,1000+,W,25.0,EMAIL-NURTURE-SERIES,cloud suite,2022-06-11,,,Lead from Email Marketing,www.cloudsystems.com,North America
NA-LEAD-000031,Nancy,Jones,nancy.jones@techcorp.co,,TechCorp,CEO,Retail & Consumer,Converted,Email Marketing,Canada,WA,42850.0,48480684.0,1130.0,1 to 10,Warm,82.0,Q4-2024-WEBINAR,Cloud,2024-03-21,2024-09-13,2024-03-25,Lead from Cold Call,,North America
NA-LEAD-000032,David,Garcia,david.garcia@futuretech.net,6935026549,FutureTech,Director,Finance,Converted,Referral,US,,98647.0,26769833.0,4575.0,Small,Warm,1.0,TECH-SUMMIT-2024,Analytics Platform,2022-12-26,2023-03-30,2023-03-22,Lead from Trade Show,www.futuretech.com,North America
NA-LEAD-000033,Karen,Anderson,karen.anderson@smartsolutions.net,6759175951,SmartSolutions,VP Marketing,Financial Services,new,Cold Call,USA,CA,74569.0,,4413.0,51-200,H,85.0,q4-2024-webinar,,2022-08-10,2022-10-06,2022-08-29,Lead from REFERRAL,,North America
NA-LEAD-000034,Jennifer,Martinez,JENNIFER.MARTINEZ@futuretech.io,7578606876,FutureTech,Manager,Tech,Converted,Trade Show,Canada,CA,69600.0,,4901.0,1-10,Hot,31.0,HOLIDAY-PROMO-2024,Integration Tools,2023-07-27,2023-11-18,,Lead from LinkedIn,www.futuretech.com,North America
NA-LEAD-000035,Karen,Brown,karen.brown@smartsolutions.io,+1-226-334-1243,SmartSolutions,Head of IT,TECH,New,LinkedIn,Mexico,CA,16868.0,,941.0,11-50,W,46.0,,Analytics Platform,2022-10-30,,2022-11-27,Lead from Web Form,www.smartsolutions.com,North America
NA-LEAD-000036,Karen,Anderson,karen.anderson@example.com,,,Director,Financial Services,New,Email Marketing,US,CA,,39383159.0,2673.0,Medium,C,64.0,,,2023-09-10,,,Lead from REFERRAL,,North America
NA-LEAD-000037,William,Rodriguez,william.rodriguez@innovatelab.com,(461) 583-3500,InnovateLab,,Financial Services,Nurturing,Referral,United States,CA,58843.0,37437408.0,,Enterprise,C,15.0,EMAIL-NURTURE-SERIES,Analytics,2024-05-30,,2024-07-23,Lead from Web Form,www.innovatelab.com,North America
NA-LEAD-000038,Lisa,Jones,lisa.jones@smartsolutions.io,(980) 485-4705,SmartSolutions,VP Marketing,Health Care,Nurturing,web form,,CA,96223.0,18048113.0,,1000+,warm,44.0,Q4-2024-WEBINAR,Security Suite,2022-08-01,,2022-10-12,Lead from Referral,,North America
NA-LEAD-000039,William,Smith,william.smith@datainc.com,+1-972-832-1815,DataInc,Director,Manufacturing,new,Paid Ads,MX,FL,64287.0,34482978.0,3531.0,11-50,warm,75.0,EMAIL-NURTURE-SERIES,Cloud,2023-03-17,,,Lead from web form,,North America
NA-LEAD-000040,Emily,Jones,,3793327229,InnovateLab,manager,technology,Disqualified,LinkedIn,,IL,56421.0,,356.0,Medium,Hot,9.0,Q42024WEB,Analytics,2022-10-09,,2022-12-21,Lead from REFERRAL,www.innovatelab.com,North America
NA-LEAD-000041,Jane,Miller,jane.miller@techcorp.com,+1-646-803-7560,TechCorp,manager,Financial Services,Converted,Partner,CA,WA,53655.0,5225733.0,944.0,Enterprise,C,,Q42024WEB,Analytics,2023-10-28,2024-02-23,2024-01-18,Lead from LinkedIn,,North America
NA-LEAD-000042,David,Brown,david.brown@cloudsystems.co,,CloudSystems,Dir,Education,Contacted,REFERRAL,Mexico,TX,71462.0,20421935.0,4854.0,1-10,,39.0,EMAIL-NURTURE-SERIES,cloud suite,2022-11-10,,,Lead from Trade Show,,North America
NA-LEAD-000043,Karen,Johnson,karen.johnson@example.io,(263) 661-2695,,Head of IT,technology,New,Referral,,WA,42472.0,29589097.0,1310.0,Small,,49.0,EMAIL-NURTURE-SERIES,Analytics,2024-02-27,,2024-03-04,Lead from REFERRAL,,North America
NA-LEAD-000044,Sarah,Johnson,sarah.johnson@smartsolutions.net,(344) 558-6082,SmartSolutions,VP Marketing,Healthcare,,web form,United States,NY,94343.0,8676094.0,4322.0,11-50,H,2.0,TECH-SUMMIT-2024,Cloud,2022-07-13,,,,www.smartsolutions.com,North America
NA-LEAD-000045,Jennifer,Brown,jennifer.brown@innovatelab.com,,InnovateLab,Dir,Healthcare,Converted,web form,MX,TX,91885.0,11209145.0,367.0,Medium,,30.0,EMAIL-NURTURE-SERIES,Cloud,2022-10-09,2022-11-04,2022-12-05,,,North America
NA-LEAD-000046,Richard,Davis,richard.davis@innovatelab.co,8193415096,InnovateLab,Manager,,new,Paid Ads,Mexico,IL,77621.0,19230255.0,,51-200,warm,65.0,HOLIDAY-PROMO-2024,,2024-01-24,,,Lead from Paid Ads,www.innovatelab.com,North America
NA-LEAD-000047,John,Miller,john.miller@techcorp.io,8655433392,TechCorp,VP Sales,Technology,Nurturing,Trade Show,,WA,71487.0,452401.0,165.0,1000+,HOT,70.0,q4-2024-webinar,,2024-03-22,,,,www.techcorp.com,North America
NA-LEAD-000048,John,Brown,john@invalid,(447) 935-3352,FutureTech,CTO,Tech,Converted,Web Form,Mexico,TX,34551.0,5845455.0,2964.0,11-50,C,100.0,,Cloud Suite,2024-07-25,2024-11-30,2024-09-23,,www.futuretech.com,North America
NA-LEAD-000049,Sarah,Jones,sarah.jones@techcorp.io,(546) 858-3868,TechCorp,,technology,Converted,Paid Ads,US,,,30814356.0,,201-1000,Hot,5.0,TECH-SUMMIT-2024,Cloud,2024-01-02,,2024-03-11,Lead from Web Form,www.techcorp.com,North America
NA-LEAD-000050,Emily,Jones,emily.jones@smartsolutions.co,,SmartSolutions,VP Marketing,Education,Converted,Cold Call,,WA,78062.0,5643964.0,656.0,Medium,Cold,41.0,Q4-2024-WEBINAR,Analytics Platform,2022-04-08,,2022-05-15,Lead from web form,www.smartsolutions.com,North America
NA-LEAD-000051,Michael,Taylor,MICHAEL.TAYLOR@globalenterprises.com,5727253621,GlobalEnterprises,Manager,Healthcare,Converted,web form,,CA,,43396147.0,3146.0,,Hot,86.0,EMAIL-NURTURE-SERIES,Analytics,2023-12-21,,2023-12-30,Lead from None,www.globalenterprises.com,North America
NA-LEAD-000052,Sarah,Anderson,sarah.anderson@digitalfirst.com,+1-656-419-5678,DigitalFirst,,Retail,New,Referral,US,,,47973443.0,729.0,1 to 10,,90.0,Q4-2024-WEBINAR,Cloud,2023-05-27,,2023-06-16,Lead from REFERRAL,,North America
NA-LEAD-000053,Sarah,Rodriguez,sarah.rodriguez@innovatelab.io,,InnovateLab,VP Sales,Retail & Consumer,Qualified,Referral,United States,NY,72739.0,27576618.0,614.0,51-200,,57.0,EMAIL-NURTURE-SERIES,Analytics,2022-09-06,,,Lead from None,www.innovatelab.com,North America
NA-LEAD-000054,Michael,Williams,michael.williams@futuretech.net,5547315653,FutureTech,Director,Manufacturing,New,LinkedIn,,NY,,35901104.0,,1 to 10,Cold,74.0,HOLIDAY-PROMO-2024,Security Suite,2024-10-26,,2025-01-11,Lead from web form,,North America
NA-LEAD-000055,Karen,Smith,karen.smith@datainc.com,4968575949,DataInc,,Retail,Disqualified,REFERRAL,MX,NY,17852.0,27991903.0,1681.0,Small,Cold,91.0,TECH-SUMMIT-2024,Analytics,2022-04-04,,2022-04-20,Lead from None,www.datainc.com,North America
NA-LEAD-000056,Sarah,Brown,,,GlobalEnterprises,Dir,Tech,Converted,LinkedIn,US,,85718.0,12839550.0,4091.0,Enterprise,W,39.0,EMAIL-NURTURE-SERIES,Cloud Suite,2022-09-08,2022-10-03,,Lead from Paid Ads,www.globalenterprises.com,North America
NA-LEAD-000057,Emily,Martinez,emily.martinez@smartsolutions.com,(470) 944-6992,SmartSolutions,VP Marketing,Education,Converted,Web Form,MX,CA,35513.0,19467732.0,,Enterprise,W,35.0,Q42024WEB,Analytics Platform,2022-04-10,2022-09-25,,,www.smartsolutions.com,North America
NA-LEAD-000058,Sarah,Rodriguez,,+1-930-541-8761,SmartSolutions,manager,Finance,Converted,Cold Call,,TX,90356.0,26470735.0,2461.0,,,65.0,,cloud suite,2022-10-23,2023-03-01,2022-11-30,Lead from Web Form,www.smartsolutions.com,North America
NA-LEAD-000059,William,Johnson,william.johnson@futuretech.net,(374) 736-7229,FutureTech,VP Sales,,New,LinkedIn,USA,IL,24404.0,29697597.0,1250.0,Medium,HOT,99.0,,cloud suite,2023-09-23,,2023-09-30,Lead from None,,North America
NA-LEAD-000060,Sarah,Anderson,sarah.anderson@globalenterprises.io,+1-452-485-5890,GlobalEnterprises,CEO,Manufacturing,Converted,Trade Show,Canada,WA,51555.0,37713685.0,2250.0,1000+,Warm,69.0,EMAIL-NURTURE-SERIES,,2024-02-11,2024-06-27,2024-02-29,,,North America
NA-LEAD-000061,Nancy,Johnson,nancy.johnson@smartsolutions.io,8004454972,SmartSolutions,Manager,,new,,Canada,WA,23133.0,48241084.0,1136.0,1-10,C,20.0,EMAIL-NURTURE-SERIES,cloud suite,2024-06-24,,2024-07-19,Lead from Trade Show,www.smartsolutions.com,North America
NA-LEAD-000062,William,Smith,william.smith@datainc.net,+1-606-707-4052,DataInc,CTO,Technology,New,Web Form,CA,IL,53914.0,43137747.0,4056.0,51-200,C,24.0,Q42024WEB,Analytics Platform,2023-04-21,,2023-06-18,Lead from Cold Call,,North America
NA-LEAD-000063,Sarah,Jones,sarah.jones@innovatelab.com,+1-531-454-1111,InnovateLab,CTO,Tech,,LinkedIn,,,53204.0,48611825.0,2152.0,1 to 10,,7.0,q4-2024-webinar,Analytics Platform,2022-12-26,,2023-01-15,Lead from None,www.innovatelab.com,North America
NA-LEAD-000064,Nancy,Jones,nancy.jones@datainc.io,(682) 975-9806,DataInc,CEO,TECH,Nurturing,LinkedIn,United States,IL,57419.0,,515.0,Enterprise,C,68.0,HOLIDAY-PROMO-2024,Security Suite,2023-08-28,,2023-11-02,Lead from REFERRAL,,North America
NA-LEAD-000065,Lisa,Davis,lisa.davis@datainc.com,5159401356,DataInc,VP Marketing,Manufacturing,New,Web Form,Canada,IL,,47102033.0,,1-10,Warm,60.0,Q4-2024-WEBINAR,Cloud,2024-11-11,,2024-11-28,Lead from REFERRAL,www.datainc.com,North America
NA-LEAD-000066,Sarah,Miller,sarah.miller@globalenterprises.co,4282031372,GlobalEnterprises,CTO,Finance,Qualified,REFERRAL,,FL,40102.0,23330386.0,1554.0,11-50,Hot,53.0,,Cloud Suite,2024-02-13,,2024-02-21,,,North America
NA-LEAD-000067,Lisa,Anderson,lisa.anderson@techcorp.com,,TechCorp,CEO,technology,,web form,Mexico,IL,98150.0,15998360.0,1183.0,1 to 10,C,38.0,TECH-SUMMIT-2024,Cloud Suite,2023-05-17,,2023-07-31,Lead from Cold Call,www.techcorp.com,North America
NA-LEAD-000068,James,Rodriguez,james.rodriguez@globalenterprises.net,+1-750-684-4948,GlobalEnterprises,CEO,Manufacturing,,Cold Call,,CA,64592.0,9098812.0,2098.0,201-1000,,57.0,Q42024WEB,Analytics,2022-04-07,,,Lead from LinkedIn,,North America
NA-LEAD-000069,James,Anderson,james.anderson@techcorp.io,,TechCorp,CEO,Retail,Converted,Referral,,TX,36805.0,16161228.0,2328.0,Medium,W,45.0,TECH-SUMMIT-2024,Cloud,2022-05-30,2022-11-18,2022-08-01,Lead from Paid Ads,www.techcorp.com,North America
NA-LEAD-000070,Sarah,Brown,,(798) 793-7841,SmartSolutions,CTO,Healthcare,Nurturing,LinkedIn,Mexico,TX,42208.0,44029996.0,2775.0,1000+,W,82.0,q4-2024-webinar,cloud suite,2023-10-03,,2023-11-17,,www.smartsolutions.com,North America
NA-LEAD-000071,Jennifer,Williams,jennifer.williams@example.co,2699243474,,Manager,Retail,Contacted,,,NY,,41473913.0,4006.0,1-10,Hot,52.0,Q4-2024-WEBINAR,Cloud Suite,2022-05-01,,2022-06-05,Lead from Trade Show,,North America
NA-LEAD-000072,John,Rodriguez,john.rodriguez@futuretech.io,(582) 615-8520,FutureTech,Dir,Retail,Converted,LinkedIn,CA,WA,20566.0,43713678.0,775.0,Medium,H,60.0,Q4-2024-WEBINAR,Cloud Suite,2023-01-03,,2023-01-13,Lead from Partner,www.futuretech.com,North America
NA-LEAD-000073,Sarah,Martinez,sarah.martinez@datainc.com,4877561539,DataInc,VP Sales,Education,Converted,Web Form,Canada,IL,,26829193.0,2461.0,51-200,HOT,49.0,q4-2024-webinar,Analytics,2022-03-29,2022-09-23,2022-04-15,Lead from Referral,www.datainc.com,North America
NA-LEAD-000074,Sarah,Smith,SARAH.SMITH@datainc.io,+1-661-702-4737,DataInc,Head of IT,Health Care,Converted,Partner,MX,TX,96595.0,41614609.0,2028.0,11-50,Warm,48.0,q4-2024-webinar,Security Suite,2024-06-14,,2024-07-24,Lead from Referral,,North America
NA-LEAD-000075,David,Davis,DAVID.DAVIS@smartsolutions.com,(295) 811-6315,SmartSolutions,VP Marketing,Technology,Converted,Trade Show,MX,FL,83339.0,16390174.0,1399.0,1 to 10,H,,TECH-SUMMIT-2024,Cloud,2023-07-07,,2023-07-25,,www.smartsolutions.com,North America
NA-LEAD-000076,James,Jones,james.jones@globalenterprises.co,(605) 540-7224,GlobalEnterprises,Head of IT,Finance,Nurturing,Email Marketing,MX,,95332.0,9235158.0,4951.0,201-1000,W,50.0,TECH-SUMMIT-2024,Cloud,2022-06-07,,2022-08-27,Lead from web form,www.globalenterprises.com,North America
NA-LEAD-000077,Sarah,Miller,sarah.miller@digitalfirst.com,(925) 414-8183,DigitalFirst,CTO,technology,Nurturing,Referral,MX,WA,93012.0,17057180.0,3476.0,Medium,Warm,76.0,EMAIL-NURTURE-SERIES,,2024-03-15,,2024-06-11,Lead from Web Form,www.digitalfirst.com,North America
NA-LEAD-000078,Sarah,Taylor,sarah.taylor@example.com,8626096432,,VP Marketing,Financial Services,Converted,Web Form,United States,NY,77999.0,46248377.0,3661.0,Small,H,86.0,,Security Suite,2022-06-24,2022-12-12,2022-06-27,Lead from Trade Show,,North America
NA-LEAD-000079,James,Johnson,james.johnson@datainc.com,5262685919,DataInc,Manager,TECH,Converted,Referral,USA,,24334.0,11129616.0,2008.0,Enterprise,Cold,42.0,,,2022-10-18,2022-12-10,2022-11-16,Lead from REFERRAL,,North America
NA-LEAD-000080,William,Anderson,william.anderson@futuretech.com,+1-970-920-2025,FutureTech,Dir,Financial Services,Converted,,US,NY,69972.0,,4019.0,Enterprise,,78.0,EMAIL-NURTURE-SERIES,Analytics Platform,2024-03-21,2024-05-11,2024-05-18,Lead from REFERRAL,www.futuretech.com,North America
NA-LEAD-000081,David,Martinez,david.martinez@datainc.co,+1-592-633-4043,DataInc,,,Converted,,US,IL,47858.0,,3704.0,,Hot,1.0,EMAIL-NURTURE-SERIES,Security Suite,2022-10-02,2022-11-01,,Lead from None,www.datainc.com,North America
NA-LEAD-000082,Jennifer,Miller,jennifer@invalid,4992335503,GlobalEnterprises,CEO,Health Care,new,Trade Show,US,,74921.0,7697461.0,2204.0,Enterprise,,96.0,Q4-2024-WEBINAR,cloud suite,2024-05-01,,2024-06-24,,www.globalenterprises.com,North America
NA-LEAD-000083,Richard,Brown,richard.brown@digitalfirst.com,+1-955-802-6744,DigitalFirst,Dir,,Converted,Partner,US,IL,,13987690.0,4680.0,Small,C,68.0,HOLIDAY-PROMO-2024,Analytics,2022-03-08,,2022-04-14,,,North America
NA-LEAD-000084,Karen,Rodriguez,karen.rodriguez@datainc.net,+1-349-928-6277,DataInc,CEO,TECH,,REFERRAL,MX,FL,,42231805.0,3712.0,11-50,Warm,95.0,TECH-SUMMIT-2024,Analytics,2022-10-05,,2022-12-06,Lead from Web Form,www.datainc.com,North America
NA-LEAD-000085,Karen,Taylor,karen.taylor@datainc.co,(530) 490-6533,DataInc,manager,Retail & Consumer,Converted,Cold Call,,,99463.0,3183177.0,,Large,Hot,,Q42024WEB,Security Suite,2024-07-27,,2024-07-27,Lead from Partner,,North America
NA-LEAD-000086,Nancy,Williams,NANCY.WILLIAMS@digitalfirst.net,9439164836,DigitalFirst,VP Marketing,,Disqualified,Referral,United States,CA,20215.0,,3655.0,1-10,Hot,15.0,Q42024WEB,,2022-11-22,,2023-01-22,,www.digitalfirst.com,North America
NA-LEAD-000087,Nancy,Johnson,nancy.johnson@datainc.net,2707431138,DataInc,Dir,,Disqualified,Cold Call,,NY,92323.0,27729383.0,3634.0,201-1000,Warm,17.0,Q42024WEB,Analytics Platform,2023-10-04,,2023-11-22,Lead from Partner,www.datainc.com,North America
NA-LEAD-000088,Michael,Brown,michael.brown@digitalfirst.com,5084109482,DigitalFirst,Dir,Health Care,Converted,LinkedIn,MX,NY,41370.0,7666099.0,4875.0,11-50,C,1.0,TECH-SUMMIT-2024,Analytics,2022-06-22,2022-11-25,,Lead from web form,www.digitalfirst.com,North America
NA-LEAD-000089,Robert,Anderson,,+1-261-607-9300,CloudSystems,CTO,,Contacted,,MX,FL,20803.0,36181440.0,2283.0,11-50,warm,,HOLIDAY-PROMO-2024,Security Suite,2024-08-22,2024-08-27,2024-10-11,Lead from REFERRAL,www.cloudsystems.com,North America
NA-LEAD-000090,Jane,Jones,jane.jones@futuretech.io,3793221207,FutureTech,VP Sales,technology,Converted,Web Form,US,FL,78551.0,48469755.0,3056.0,51-200,warm,15.0,Q42024WEB,Cloud Suite,2023-05-04,,2023-06-27,,,North America
NA-LEAD-000091,Nancy,Martinez,nancy.martinez@datainc.net,+1-787-890-2889,DataInc,CEO,technology,Converted,,USA,CA,11610.0,31759585.0,1239.0,51-200,Hot,91.0,q4-2024-webinar,,2024-10-13,,2024-11-13,Lead from Email Marketing,,North America
NA-LEAD-000092,Jane,Martinez,JANE.MARTINEZ@smartsolutions.co,(489) 992-6090,SmartSolutions,Head of IT,Financial Services,New,,,CA,48219.0,20495008.0,1997.0,Large,,63.0,Q42024WEB,Integration Tools,2022-09-02,,2022-11-10,Lead from LinkedIn,,North America
NA-LEAD-000093,James,Smith,,9559446038,InnovateLab,Director,Retail,New,,Canada,FL,17850.0,9654522.0,772.0,1-10,HOT,66.0,EMAIL-NURTURE-SERIES,Analytics,2023-12-11,,2023-12-21,Lead from None,,North America
NA-LEAD-000094,Karen,Miller,karen.miller@datainc.co,5256635455,DataInc,CEO,Financial Services,Qualified,LinkedIn,US,,24283.0,11131018.0,2582.0,Medium,Warm,98.0,HOLIDAY-PROMO-2024,cloud suite,2022-05-08,,2022-06-10,Lead from Referral,,North America
NA-LEAD-000095,William,Jones,william.jones@techcorp.co,4663781509,TechCorp,VP Marketing,Finance,Converted,,,TX,,,1004.0,1-10,Hot,28.0,HOLIDAY-PROMO-2024,Integration Tools,2023-03-17,,2023-05-03,Lead from REFERRAL,,North America
